Question ID,Question,RAG Answer,Reference Answer,LLM Model,Embedding Model,Chunk Size,Context Quality (1-5),Answer Relevance (1-5),Answer Correctness (1-5),Faithfulness to Context (1-5),Notes
11,11. Ich habe ein Schwimmbad auf meinem Grund errichtet mit 65 m³ Rauminhalt. Was ist nach der Fertigstellung der Bauarbeiten zu tun?,"Schwimmbecken sind in gärtnerisch auszugestaltenden Flächen bis zu einem Gesamtausmaß von 60 m³ Rauminhalt zulässig und müssen von Nachbargrenzen einen Abstand von mindestens 3 m haben, sofern der Nachbar nicht einem geringeren Abstand zustimmt.","11. Bei einem Schwimmbad mit über 60 m² greift die Ausnahme §62a Z 22 nicht mehr, daher Fertigstellungsanzeige nach §128.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,,,,,
1,1. Wie hoch darf ein Gebäude in Bauklasse I gemäß Artikel IV in Wien sein?," 3,50 m","1. Ein Gebäude in Bauklasse I darf maximal 7,50 Meter hoch sein.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,,,,,
2,2. Welche maximale Dachneigung ist in Gartensiedlungsgebieten zulässig in Wien?, 25°,2. Die maximale Dachneigung beträgt 25 Grad.,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,,,,,
3,3. Wie lautet die Definition von Einkaufszentren nach der Bauordnung der Stadt Wien?,"“Einkaufszentren sind Bauvorhaben mit Räumen, die überwiegend für das Ausstellen und den Verkauf von Waren beziehungsweise für das damit im Zusammenhang stehende Erbringen von Dienstleistungen bestimmt sind.”","3. Einkaufszentren sind Bauvorhaben mit Räumen, die überwiegend für das Ausstellen und den Verkauf von Waren beziehungsweise für das damit im Zusammenhang stehende Erbringen von Dienstleistungen bestimmt sind, soweit die Fläche dieser Räume zusammen mehr als 1.600 m², im „Gemischten Baugebiet – Betriebsbaugebiet“ mehr als 1.000 m² beträgt.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,,,,,
4,4. Wie weit dürfen Keller- und Grundmauern vor der Baulinie oder Straßenfluchtlinie hervorragen?, Keller- und Grundmauern dürfen bis zu 20 cm vor der Baulinie oder Straßenfluchtlinie hervorragen.,4. Laut §83 1 a dürfen sie 20cm hervorragen.,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,,,,,
5,5. Mein Bauwerk überschreitet die Höhe von 26m mit einer Bauhöhe von 30m. Kann ich dafür ein vereinfachtes Baubewilligungsverfahren erhalten?,"Nein, da das Ausmaß der bebaubaren Fläche um mehr als ein Viertel überschritten wird und insgesamt eine bebaute Fläche von 150 m2 überschritten wird.","5. Nein, laut §70a Vom vereinfachten Baubewilligungsverfahren ausgenommen sind:9. Bauwerke, deren Höhe 26 m überschreitet;",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,,,,,
6,6. Wie viel Abstand muss zwischen meinem Fenster und den Grenzen des Nachbagrundstücks sein?, 2 m,6. §79 Abs 2: Der Abstand muss 2 meter von der Grenze sein außer bei öffentlichen Erholungsflächen.,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,,,,,
7,7. Darf ich in Wien einen Werkzeugschupppen auf meinem als Baufläche gewidmeten Grundstück errichten. Der Schuppen soll 2 mal 3 Meter groß und 2 Meter hoch werden.,"‘Ja, das ist möglich.","7. Nein, das darfst du nicht, weil §62a Abs 1 Z 5 WBauO.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,,,,,
8,"8. Ich möchte auf einem Grundstück der Bauklasse I ein Haus bauen. Das Haus hat an der Oberfläche einen Grundriss von 250 m², unterirdisch wird jedoch ein großer Weinkeller mit 360 m² Grundriss gebaut. Ist dieser Bau zulässig?"," Nein, da die bebaute Fläche von Gebäuden in der Bauklasse I nicht mehr als 350 m2 betragen darf und hier eine Fläche von 360 m² unterirdisch errichtet werden soll.","8. Mit 250 m² sind wir nach §76 Abs 10 noch in der maximalen Bebauung in der Bauklasse 1, der Keller zählt nach §80 nicht dazu, wäre aber oberirdisch zu groß",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,,,,,
9,"9. Ich habe auf meinen Grundstück einen Bauplatz bewilligen lassen. Die Stadt Wien sagt, ich muss davon einen Teil abtreten, um den Ausbau der Straße zu ermöglichen. Bekomme ich dafür eine Entschädigung?",definitely,"9. Nach §17 BauO besteht eine Verpflichtung zur Abtretung von ""nach Maßgabe der Baulinien zu den Verkehrsflächen entfallenden Grundflächen bei beiderseitiger Bebauungsmöglichkeit bis zur Achse der Verkehrsfläche, bei einseitiger Bebauungsmöglichkeit bis zur ganzen Breite der Verkehrsfläche, in beiden Fällen aber nur bis zu 20 m, senkrecht zur Baulinie und von dieser aus gemessen"" bei Schaffung von neuen Bauplätzen. Dieser Übertrag ist lastenfrei und entgeltlos durchzuführen, soweit nach Abs 5 die Abtretung nicht mehr als 30 % der Fläche beträgt.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,,,,,
10,10. Ich habe ein Schwimmbad auf meinem Grund errichtet mit 50 m³ Rauminhalt. Was ist nach der Fertigstellung der Bauarbeiten zu tun?," Ein Gehsteig in einfacher Ausführung muss hergestellt werden, dessen Breite nicht mehr als 1,5m betragen darf und eine Größe von mindestens 500 m² haben sollte.","10. Ein Schwimmbad mit 50m³ (vorausgesetzt die anderen Anforderungen sind auch erfüllt: Abstand von mindestens 3 m von Nachbargrenzen sowie oberste Abschluss des Beckens nicht mehr als 1,50 m über dem angrenzenden Gelände) braucht nach §62a Z 22 keine Bewilligung, daher auch keine Fertigstellungsanzeige nach §128 Abs 1.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,,,,,
11,11. Ich habe ein Schwimmbad auf meinem Grund errichtet mit 65 m³ Rauminhalt. Was ist nach der Fertigstellung der Bauarbeiten zu tun?,"Schwimmbecken sind in gärtnerisch auszugestaltenden Flächen bis zu einem Gesamtausmaß von 60 m³ Rauminhalt zulässig und müssen von Nachbargrenzen einen Abstand von mindestens 3 m haben, sofern der Nachbar nicht einem geringeren Abstand zustimmt.","11. Bei einem Schwimmbad mit über 60 m² greift die Ausnahme §62a Z 22 nicht mehr, daher Fertigstellungsanzeige nach §128.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.125,,,,,
1,1. Wie hoch darf ein Gebäude in Bauklasse I gemäß Artikel IV in Wien sein?, 9 m,"1. Ein Gebäude in Bauklasse I darf maximal 7,50 Meter hoch sein.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,,,,,
2,2. Welche maximale Dachneigung ist in Gartensiedlungsgebieten zulässig in Wien?, 25°,2. Die maximale Dachneigung beträgt 25 Grad.,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,,,,,
3,3. Wie lautet die Definition von Einkaufszentren nach der Bauordnung der Stadt Wien?,"“Bauvorhaben mit Räumen, die überwiegend für das Ausstellen und den Verkauf von Waren beziehungsweise für das damit im Zusammenhang stehende Erbringen von Dienstleistungen bestimmt sind”","3. Einkaufszentren sind Bauvorhaben mit Räumen, die überwiegend für das Ausstellen und den Verkauf von Waren beziehungsweise für das damit im Zusammenhang stehende Erbringen von Dienstleistungen bestimmt sind, soweit die Fläche dieser Räume zusammen mehr als 1.600 m², im „Gemischten Baugebiet – Betriebsbaugebiet“ mehr als 1.000 m² beträgt.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,,,,,
4,4. Wie weit dürfen Keller- und Grundmauern vor der Baulinie oder Straßenfluchtlinie hervorragen?, Keller- und Grundmauern dürfen bis zu 20 cm vorspringen.,4. Laut §83 1 a dürfen sie 20cm hervorragen.,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,,,,,
5,5. Mein Bauwerk überschreitet die Höhe von 26m mit einer Bauhöhe von 30m. Kann ich dafür ein vereinfachtes Baubewilligungsverfahren erhalten?,"Nein, da Sie die bestehende Gebäudehöhe nicht unbeschadet des Absatzes 5 überschreiten dürfen.","5. Nein, laut §70a Vom vereinfachten Baubewilligungsverfahren ausgenommen sind:9. Bauwerke, deren Höhe 26 m überschreitet;",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,,,,,
6,6. Wie viel Abstand muss zwischen meinem Fenster und den Grenzen des Nachbagrundstücks sein?, 2 m,6. §79 Abs 2: Der Abstand muss 2 meter von der Grenze sein außer bei öffentlichen Erholungsflächen.,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,,,,,
7,7. Darf ich in Wien einen Werkzeugschupppen auf meinem als Baufläche gewidmeten Grundstück errichten. Der Schuppen soll 2 mal 3 Meter groß und 2 Meter hoch werden.,"‘Nein’, da die Vorschriften des Bundes- oder Landesrechtes dies nicht zulassen.","7. Nein, das darfst du nicht, weil §62a Abs 1 Z 5 WBauO.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,,,,,
8,"8. Ich möchte auf einem Grundstück der Bauklasse I ein Haus bauen. Das Haus hat an der Oberfläche einen Grundriss von 250 m², unterirdisch wird jedoch ein großer Weinkeller mit 360 m² Grundriss gebaut. Ist dieser Bau zulässig?","Nein, da die bebaute Fläche von Gebäuden in der Bauklasse I nicht mehr als 350 m2 betragen darf.","8. Mit 250 m² sind wir nach §76 Abs 10 noch in der maximalen Bebauung in der Bauklasse 1, der Keller zählt nach §80 nicht dazu, wäre aber oberirdisch zu groß",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,,,,,
9,"9. Ich habe auf meinen Grundstück einen Bauplatz bewilligen lassen. Die Stadt Wien sagt, ich muss davon einen Teil abtreten, um den Ausbau der Straße zu ermöglichen. Bekomme ich dafür eine Entschädigung?",definitely,"9. Nach §17 BauO besteht eine Verpflichtung zur Abtretung von ""nach Maßgabe der Baulinien zu den Verkehrsflächen entfallenden Grundflächen bei beiderseitiger Bebauungsmöglichkeit bis zur Achse der Verkehrsfläche, bei einseitiger Bebauungsmöglichkeit bis zur ganzen Breite der Verkehrsfläche, in beiden Fällen aber nur bis zu 20 m, senkrecht zur Baulinie und von dieser aus gemessen"" bei Schaffung von neuen Bauplätzen. Dieser Übertrag ist lastenfrei und entgeltlos durchzuführen, soweit nach Abs 5 die Abtretung nicht mehr als 30 % der Fläche beträgt.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,,,,,
10,10. Ich habe ein Schwimmbad auf meinem Grund errichtet mit 50 m³ Rauminhalt. Was ist nach der Fertigstellung der Bauarbeiten zu tun?," Ein Gehsteig in einfachster Ausführung und einer Breite von höchstens 1,50 m herzustellen.","10. Ein Schwimmbad mit 50m³ (vorausgesetzt die anderen Anforderungen sind auch erfüllt: Abstand von mindestens 3 m von Nachbargrenzen sowie oberste Abschluss des Beckens nicht mehr als 1,50 m über dem angrenzenden Gelände) braucht nach §62a Z 22 keine Bewilligung, daher auch keine Fertigstellungsanzeige nach §128 Abs 1.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,,,,,
11,11. Ich habe ein Schwimmbad auf meinem Grund errichtet mit 65 m³ Rauminhalt. Was ist nach der Fertigstellung der Bauarbeiten zu tun?," Ein Gehsteig muss in einfachster Ausführung hergestellt werden, jedoch nur in einer Breite von höchstens 1,50 m.","11. Bei einem Schwimmbad mit über 60 m² greift die Ausnahme §62a Z 22 nicht mehr, daher Fertigstellungsanzeige nach §128.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,,,,,
1,1. Wie hoch darf ein Gebäude in Bauklasse I gemäß Artikel IV in Wien sein?,"
Ein Gebäude in Bauklasse I gemäß Artikel IV in Wien darf höchstens fünf Geschosse (vier Stockwerke) enthalten.","1. Ein Gebäude in Bauklasse I darf maximal 7,50 Meter hoch sein.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,,,,,
2,2. Welche maximale Dachneigung ist in Gartensiedlungsgebieten zulässig in Wien?,"
Die maximale Dachneigung in Gartensiedlungsgebieten in Wien beträgt 20°.",2. Die maximale Dachneigung beträgt 25 Grad.,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,,,,,
3,3. Wie lautet die Definition von Einkaufszentren nach der Bauordnung der Stadt Wien?,"
Einkaufszentren werden in zwei Typen festgelegt:

1.

Einkaufszentren des Typs 1 sind Bauvorhaben im Sinne des Abs. 1, in denen sämtliche Warenarten angeboten werden.
2.
Einkaufszentren des Typs 2 sind Bauvorhaben im Sinne des Abs. 1, in denen ausschließlich Waren des Baustoff-, Garten-, oder Möbelhandels angeboten werden.","3. Einkaufszentren sind Bauvorhaben mit Räumen, die überwiegend für das Ausstellen und den Verkauf von Waren beziehungsweise für das damit im Zusammenhang stehende Erbringen von Dienstleistungen bestimmt sind, soweit die Fläche dieser Räume zusammen mehr als 1.600 m², im „Gemischten Baugebiet – Betriebsbaugebiet“ mehr als 1.000 m² beträgt.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,,,,,
4,4. Wie weit dürfen Keller- und Grundmauern vor der Baulinie oder Straßenfluchtlinie hervorragen?,"
Keller- und Grundmauern dürfen bis zu einer Tiefe von mindestens 60 cm unter der künftigen Straßenoberfläche hervorragen.",4. Laut §83 1 a dürfen sie 20cm hervorragen.,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,,,,,
5,5. Mein Bauwerk überschreitet die Höhe von 26m mit einer Bauhöhe von 30m. Kann ich dafür ein vereinfachtes Baubewilligungsverfahren erhalten?,"
Nein, da dein Bauwerk eine Höhe von mehr als 26m hat, kannst du kein vereinfachtes Baubewilligungsverfahren erhalten.","5. Nein, laut §70a Vom vereinfachten Baubewilligungsverfahren ausgenommen sind:9. Bauwerke, deren Höhe 26 m überschreitet;",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,,,,,
6,6. Wie viel Abstand muss zwischen meinem Fenster und den Grenzen des Nachbagrundstücks sein?,"
Zwischen deinem Fenster und den Grenzen des Nachbargrundstückes muss ein Abstand von mindestens drei Metern eingehalten werden, wenn sich dein Haus in einer der Klassen I oder II befindet. In allen anderen Klassen müssen mindestens sechs Meter zwischen den Häusern liegen.",6. §79 Abs 2: Der Abstand muss 2 meter von der Grenze sein außer bei öffentlichen Erholungsflächen.,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,,,,,
7,7. Darf ich in Wien einen Werkzeugschupppen auf meinem als Baufläche gewidmeten Grundstück errichten. Der Schuppen soll 2 mal 3 Meter groß und 2 Meter hoch werden.,"
Nein, das ist nicht möglich.
Die Vorschriften des § 84 Absatz 1 des Wiener Gebietsordnungsgesetzes verbieten es, Bauwerke vor den Baufluchtlinien zu errichten.","7. Nein, das darfst du nicht, weil §62a Abs 1 Z 5 WBauO.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,,,,,
8,"8. Ich möchte auf einem Grundstück der Bauklasse I ein Haus bauen. Das Haus hat an der Oberfläche einen Grundriss von 250 m², unterirdisch wird jedoch ein großer Weinkeller mit 360 m² Grundriss gebaut. Ist dieser Bau zulässig?","
Nein, da die unterirdische Bebauung nicht den Mindestabstand von 40 vH der Fläche des Bauplatzes einhält.","8. Mit 250 m² sind wir nach §76 Abs 10 noch in der maximalen Bebauung in der Bauklasse 1, der Keller zählt nach §80 nicht dazu, wäre aber oberirdisch zu groß",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,,,,,
9,"9. Ich habe auf meinen Grundstück einen Bauplatz bewilligen lassen. Die Stadt Wien sagt, ich muss davon einen Teil abtreten, um den Ausbau der Straße zu ermöglichen. Bekomme ich dafür eine Entschädigung?","
Ja, du bekommst dafür eine Entschädigung.","9. Nach §17 BauO besteht eine Verpflichtung zur Abtretung von ""nach Maßgabe der Baulinien zu den Verkehrsflächen entfallenden Grundflächen bei beiderseitiger Bebauungsmöglichkeit bis zur Achse der Verkehrsfläche, bei einseitiger Bebauungsmöglichkeit bis zur ganzen Breite der Verkehrsfläche, in beiden Fällen aber nur bis zu 20 m, senkrecht zur Baulinie und von dieser aus gemessen"" bei Schaffung von neuen Bauplätzen. Dieser Übertrag ist lastenfrei und entgeltlos durchzuführen, soweit nach Abs 5 die Abtretung nicht mehr als 30 % der Fläche beträgt.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,,,,,
10,10. Ich habe ein Schwimmbad auf meinem Grund errichtet mit 50 m³ Rauminhalt. Was ist nach der Fertigstellung der Bauarbeiten zu tun?,"
Nach der Fertigstellung deiner Bauarbeiten musst du die örtliche Behörde informieren, damit diese deine Abweichung von den Vorschriften des Bebauungsplanes prüfen kann.","10. Ein Schwimmbad mit 50m³ (vorausgesetzt die anderen Anforderungen sind auch erfüllt: Abstand von mindestens 3 m von Nachbargrenzen sowie oberste Abschluss des Beckens nicht mehr als 1,50 m über dem angrenzenden Gelände) braucht nach §62a Z 22 keine Bewilligung, daher auch keine Fertigstellungsanzeige nach §128 Abs 1.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,,,,,
11,11. Ich habe ein Schwimmbad auf meinem Grund errichtet mit 65 m³ Rauminhalt. Was ist nach der Fertigstellung der Bauarbeiten zu tun?,"
Die Inbetriebnahme einer solchen Anlage auf der Ersatzfläche darf im Zeitpunkt der Baueinreichung nicht länger als zwei Jahre zurückliegen.","11. Bei einem Schwimmbad mit über 60 m² greift die Ausnahme §62a Z 22 nicht mehr, daher Fertigstellungsanzeige nach §128.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,,,,,
1,1. Wie hoch darf ein Gebäude in Bauklasse I gemäß Artikel IV in Wien sein?,"
Ein Gebäude in Bauklasse I darf gemäß Artikel IV eine Höhe von 7,50 m erreichen.","1. Ein Gebäude in Bauklasse I darf maximal 7,50 Meter hoch sein.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,,,,,
2,2. Welche maximale Dachneigung ist in Gartensiedlungsgebieten zulässig in Wien?,"
Die maximale Dachneigung in Gartensiedlungsgebieten in Wien beträgt 30°.",2. Die maximale Dachneigung beträgt 25 Grad.,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,,,,,
3,3. Wie lautet die Definition von Einkaufszentren nach der Bauordnung der Stadt Wien?,"
Einkaufszentren sind großflächige Einrichtungen, die eine Vielzahl von Geschäften sowie gastronomische und kulturelle Angebote vereinen. Sie bieten den Besuchern einen zentralen Ort zum Einkaufen, Verweilen und Erholen.","3. Einkaufszentren sind Bauvorhaben mit Räumen, die überwiegend für das Ausstellen und den Verkauf von Waren beziehungsweise für das damit im Zusammenhang stehende Erbringen von Dienstleistungen bestimmt sind, soweit die Fläche dieser Räume zusammen mehr als 1.600 m², im „Gemischten Baugebiet – Betriebsbaugebiet“ mehr als 1.000 m² beträgt.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,,,,,
4,4. Wie weit dürfen Keller- und Grundmauern vor der Baulinie oder Straßenfluchtlinie hervorragen?,"
Die Keller- und Grundmauern dürfen bis zu einer Tiefe von mindestens 60 cm unter der künftigen Straßenoberfläche hervorragen.",4. Laut §83 1 a dürfen sie 20cm hervorragen.,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,,,,,
5,5. Mein Bauwerk überschreitet die Höhe von 26m mit einer Bauhöhe von 30m. Kann ich dafür ein vereinfachtes Baubewilligungsverfahren erhalten?,"
Nein, da dein Gebäude eine Höhe von mehr als 26m hat und somit nicht den Voraussetzungen für das vereinfachte Baubewilligungsverfahren entspricht.","5. Nein, laut §70a Vom vereinfachten Baubewilligungsverfahren ausgenommen sind:9. Bauwerke, deren Höhe 26 m überschreitet;",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,,,,,
6,6. Wie viel Abstand muss zwischen meinem Fenster und den Grenzen des Nachbagrundstücks sein?,"
3 m",6. §79 Abs 2: Der Abstand muss 2 meter von der Grenze sein außer bei öffentlichen Erholungsflächen.,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,,,,,
7,7. Darf ich in Wien einen Werkzeugschupppen auf meinem als Baufläche gewidmeten Grundstück errichten. Der Schuppen soll 2 mal 3 Meter groß und 2 Meter hoch werden.,"
Nein, das ist nicht möglich.
Es gibt strenge Vorschriften für den Bau von Gebäuden in Wien, insbesondere wenn es sich um einen Werkzeugschuppen handelt. Der Schuppen muss bestimmte Größe und Höhe haben, um die Sicherheit und den Datenschutz zu gewährleisten.","7. Nein, das darfst du nicht, weil §62a Abs 1 Z 5 WBauO.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,,,,,
8,"8. Ich möchte auf einem Grundstück der Bauklasse I ein Haus bauen. Das Haus hat an der Oberfläche einen Grundriss von 250 m², unterirdisch wird jedoch ein großer Weinkeller mit 360 m² Grundriss gebaut. Ist dieser Bau zulässig?","
Nein, da die Gesamtgröße des Gebäudes über 600m² liegen würde.","8. Mit 250 m² sind wir nach §76 Abs 10 noch in der maximalen Bebauung in der Bauklasse 1, der Keller zählt nach §80 nicht dazu, wäre aber oberirdisch zu groß",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,,,,,
9,"9. Ich habe auf meinen Grundstück einen Bauplatz bewilligen lassen. Die Stadt Wien sagt, ich muss davon einen Teil abtreten, um den Ausbau der Straße zu ermöglichen. Bekomme ich dafür eine Entschädigung?","
Ja, du bekommst dafür eine Entschädigung.","9. Nach §17 BauO besteht eine Verpflichtung zur Abtretung von ""nach Maßgabe der Baulinien zu den Verkehrsflächen entfallenden Grundflächen bei beiderseitiger Bebauungsmöglichkeit bis zur Achse der Verkehrsfläche, bei einseitiger Bebauungsmöglichkeit bis zur ganzen Breite der Verkehrsfläche, in beiden Fällen aber nur bis zu 20 m, senkrecht zur Baulinie und von dieser aus gemessen"" bei Schaffung von neuen Bauplätzen. Dieser Übertrag ist lastenfrei und entgeltlos durchzuführen, soweit nach Abs 5 die Abtretung nicht mehr als 30 % der Fläche beträgt.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,,,,,
10,10. Ich habe ein Schwimmbad auf meinem Grund errichtet mit 50 m³ Rauminhalt. Was ist nach der Fertigstellung der Bauarbeiten zu tun?,"
Die Außenwände des Schwimmbades müssen in den nächsten 3 Monaten verputzt werden, um die Dichtigkeit und das Aussehen zu verbessern.","10. Ein Schwimmbad mit 50m³ (vorausgesetzt die anderen Anforderungen sind auch erfüllt: Abstand von mindestens 3 m von Nachbargrenzen sowie oberste Abschluss des Beckens nicht mehr als 1,50 m über dem angrenzenden Gelände) braucht nach §62a Z 22 keine Bewilligung, daher auch keine Fertigstellungsanzeige nach §128 Abs 1.",llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,,,,,
