Question ID,LLM Model,Embedding Model,Chunk Size,Context Quality,Answer Relevance,Answer Correctness,Faithfulness to Context,Notes
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,4,5,2,3,"Incorrectly counts underground cellar area toward max"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,3,2,1,1,"Wrongly affirms compensation; contradicts free transfer"
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,3,3,1,1,"Fabricated sidewalk requirement instead of no notification"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.25,3,2,1,1,"Gives general rule ≤ 60 m³ instead of notification requirement"
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,3,4,2,5,"Incorrect height (9 m vs. 7.5 m)"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,5,5,5,5,"Correct"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,4,5,4,4,"Missing area thresholds"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,5,5,5,5,"Accurate"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,5,5,5,5,"Correct exclusion"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,5,5,4,4,"Misses recreation-area exception"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,4,5,4,4,"Correct prohibition but vague reference"
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,4,5,2,3,"Counts cellar incorrectly"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,3,2,1,1,"Wrong yes‑no response"
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,3,3,1,1,"Fabricated sidewalk duty"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,3,3,1,1,"Same fabrication"
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,2,3,1,1,"Fabricated five‑storey limit"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,2,4,2,1,"Incorrect roof pitch"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,2,3,2,1,"Wrong classification of center types"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,2,3,1,1,"Incorrect protrusion depth"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,5,5,5,5,"Correct exclusion by height"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,2,3,1,2,"Incorrect distances (3 m/6 m)"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,4,5,5,4,"Correct prohibition, vague reasoning"
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,2,3,1,1,"Fabricated percentage requirement"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,2,2,1,1,"Wrong yes‑no response"
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,3,3,1,1,"Fabricated notification duty"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,2,2,1,1,"Fabricated reporting requirement"
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,2,4,1,1,"Wildly fabricated 50 m height"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,2,4,1,1,"Wrong 45° pitch"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,2,3,1,1,"Incorrect, non‑legal definition"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,2,3,2,1,"Incorrect protrusion (0.5 m vs. 0.2 m)"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,5,5,5,5,"Correct exclusion by height"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,2,3,2,1,"Incorrect 2.4 m distance"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,4,5,5,4,"Correct prohibition, vague reference"
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,3,3,1,2,"Incorrect total‑area rule"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,2,2,1,1,"Wrong yes‑no response"
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,2,2,1,1,"Made‑up pathway requirement"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,2,2,1,1,"Same fabrication"
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,2,4,2,3,"Incorrect height (50m vs. 7.5m)"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,1,3,1,2,"Missing roof slope regulations in the provided context"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,3,4,3,4,"General, lacks specific legal details"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,5,5,5,5,"Accurate and clear"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,5,5,5,5,"Correct legal interpretation"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,3,4,3,4,"Partially correct, lacks full context on exceptions"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,2,3,2,3,"Missing full legal context for tool shed regulation"
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,3,4,3,4,"Confusing basement exclusion and size calculation"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,5,5,5,5,"Accurate interpretation on land transfer"
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,1,2,1,2,"Incorrect pool registration details"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,5,5,5,5,"Correct legal interpretation for pool over 60m³"
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,2,4,1,1,"Incorrect maximum height (22 m vs. 7.5 m)"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,2,4,1,1,"Wrong roof pitch (45° vs. 25°)"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,2,4,3,3,"Definition incomplete; missing area thresholds"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,2,2,1,1,"Irrelevant depth rule, not protrusion limit"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,2,5,5,5,"Correct exclusion by height > 26 m"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,2,4,2,2,"Incorrect conditional distance (3 m half‑width)"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,2,5,5,5,"Correct prohibition of shed"
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,2,4,1,1,"Cellar rule wrong (25 % limit fabricated)"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,2,3,1,1,"Wrong compensation (should be gratuitous)"
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,2,4,1,1,"Fabricated notification requirement"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,2,4,2,2,"Generic finishing rule doesn’t match notification requirement"
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,1,4,1,1,"Wrong height (22 m) vs. 7.5 m"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,1,4,1,1,"Wrong roof pitch (45°)"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,1,4,3,3,"Too generic definition, missing scales"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,1,2,1,1,"Incorrect depth (1.5 m vs. 0.2 m)"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,1,5,5,5,"Height exclusion correct"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,1,3,1,1,"Wrong distances (3 m/6 m rule invented)"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,1,5,5,5,"Prohibition correct"
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,1,4,1,1,"Fabricated area‐ratio rule"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,1,3,1,1,"Incorrect yes‑no on compensation"
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,1,4,1,1,"Fabricated permit requirement"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,1,4,1,1,"Same incorrect notification rule"
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,1,4,1,1,"Still wrong height (22 m)"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,1,4,1,1,"Still wrong pitch (45°)"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,1,4,3,3,"Bare‐bones definition; no thresholds"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,1,5,2,2,"Overstates protrusion (50 cm vs. 20 cm)"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,1,5,5,5,"Correct exclusion by height"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,1,2,1,1,"Claims no fixed rule—wrong"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,1,5,5,5,"Prohibition correct"
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,1,4,1,1,"Fabricated total‐area limit"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,1,3,1,1,"Still wrong on compensation"
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,1,4,1,1,"Invented building‐notice duty"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,1,4,1,1,"Same invented duty"
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,1,4,1,1,"Wrong height repeated"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,1,4,1,1,"Wrong pitch repeated"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,1,4,3,3,"Overly broad, no area criteria"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,1,5,2,2,"Says 30 cm instead of 20 cm"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,1,5,5,5,"Height exclusion correct"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,1,2,1,1,"Denies any rule—incorrect"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,1,5,5,5,"Prohibition correct"
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,1,4,1,1,"Incorrect ‘yes’ and false area threshold"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,1,5,5,5,"Correctly states no compensation"
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,1,2,1,1,"Generic permit advice, not Q‑related"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,1,2,1,1,"Claims unallowability—wrong"
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,1,4,1,1,"Wrong max height (22 m vs. 7.5 m)"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,1,4,1,1,"Wrong roof pitch (45° vs. 25°)"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,1,4,3,3,"Definition missing area thresholds"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,1,2,1,1,"Fabricated depth rule, not 20 cm"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,1,5,5,5,"Correct: excluded by > 26 m"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,1,4,2,2,"Invented conditional distance rule"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,1,5,5,5,"Correct prohibition of shed"
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,1,3,4,1,"Cellar‑area rule invented (25 %)"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,1,5,1,1,"Affirms compensation (should be gratuitous)"
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,1,2,1,1,"Fabricated notification requirement"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,1,2,1,1,"Generic finishing rule, not context‑driven"
1,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,3,4,1,1,"Gives “9 m” (wrong)"
2,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,3,5,5,5,"Correct 25°"
3,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,4,5,4,4,"Good base def, missing services & thresholds"
4,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,4,5,5,5,"Correct 20 cm"
5,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,4,4,2,2,"Wrong height‑difference reasoning"
6,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,4,5,5,4,"Correct 2 m, misses recreation exception"
7,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,4,5,1,1,"Permits forbidden shed"
8,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,4,5,2,3,"Incorrect area counting"
9,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,3,3,1,1,"One‑word “definitely” contradicts reference"
10,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,4,3,1,1,"Fabricated sidewalk duty"
11,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,4,3,1,1,"Fabricated finishing rule"
1,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,3,4,1,1,"Still “9 m”"
2,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,5,5,5,5,"Correct 25°"
3,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,5,5,5,5,"Perfect match"
4,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,5,5,5,5,"Correct 20 cm"
5,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,4,5,4,5,"Correct conclusion, wrong rationale"
6,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,5,5,5,4,"Correct 2 m, misses exception"
7,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,4,5,1,1,"Permits shed"
8,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,4,5,2,3,"Wrong underground area logic"
9,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,4,3,1,1,"“definitely” still wrong"
10,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,4,1,1,1,"Nonsensical tree requirement"
11,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,4,3,1,1,"Sidewalk fabrication repeats"
1,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,3,4,1,1,"Still “9 m”"
2,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,5,5,5,5,"Correct 25°"
3,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,5,5,5,5,"Perfect match"
4,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,5,5,5,5,"Correct 20 cm"
5,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,5,5,5,5,"Correct exclusion"
6,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,5,5,4,4,"Correct 2 m, misses exception"
7,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,5,5,5,5,"Correct prohibition"
8,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,4,5,2,3,"Wrong cellar rule"
9,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,4,3,1,1,"“definitely” persists"
10,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,3,1,1,1,"Nonsensical garden‐tree advice"
11,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,3,3,1,1,"Sidewalk reproduction"
1,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,2,2,1,1,"Invented 4.5 m limit"
2,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,5,1,1,1,"Wrong 20° pitch"
3,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,4,2,2,3,"Generic def, no thresholds"
4,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,2,1,1,1,"Completely wrong protrusion"
5,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,5,1,1,3,"Exclusion wrong (< 26 m cutoff)"
6,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,5,5,4,4,"Correct 2 m, misses exception"
7,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,5,5,5,5,"Correct prohibition"
8,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,5,1,1,1,"Fabricated 90 m² limit"
9,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,5,1,1,1,"Wrong “full value” compensation"
10,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,2,1,1,1,"Nonsensical canal instructions"
11,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,2,1,1,1,"Irrelevant breach‐remedy advice"
1,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,1,4,1,1,"Still “22 m”"
2,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,4,1,1,1,"Wrong 30° pitch"
3,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,4,2,2,2,"Generic def, no thresholds"
4,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,5,1,1,2,"Protrusion wrong (1.50 m vs. 0.20 m)"
5,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,5,5,5,5,"Correct exclusion"
6,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,1,1,1,1,"Irrelevant land‑use text"
7,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,5,1,1,1,"Permits shed"
8,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,5,1,1,1,"Wrong cellar limit logic"
9,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,5,5,5,5,"Correctly denies compensation"
10,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,2,1,1,1,"Wrong special‑permit text"
11,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,2,1,1,1,"Irrelevant remedy instructions"
1,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,5,5,5,5,"Exact match to reference height"
2,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,2,5,1,1,"Wrong roof pitch (45° vs. 25°)"
3,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,3,4,3,3,"Missing area thresholds and services"
4,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,2,5,1,2,"Protrusion limit wrong (0.5 m vs. 0.2 m)"
5,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,5,5,5,5,"Correct exclusion by height > 26 m"
6,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,2,3,1,1,"Wrong distance (20 m vs. 2 m)"
7,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,2,5,1,1,"Fabricated size limit (500 m²)"
8,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,2,5,1,1,"Fabricated total‐area rule"
9,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,2,5,1,1,"Wrong yes – should be gratuitous transfer"
10,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,2,4,1,1,"Fabricated permit requirement"
11,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,2,4,1,1,"Irrelevant compliance/maintenance rule"
1,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,2,5,1,1,"Wrong max height (22 m vs. 7.5 m)"
2,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,2,5,1,1,"Wrong roof pitch (45° vs. 25°)"
3,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,3,3,2,2,"Generic definition, missing thresholds"
4,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,2,5,1,1,"Wrong protrusion depth (30 cm vs. 20 cm)"
5,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,5,5,5,5,"Correct exclusion by height > 26 m"
6,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,2,3,1,1,"Fabricated sidewalk requirement"
7,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,3,5,5,4,"Correct prohibition, but vague justification"
8,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,2,5,1,1,"Fabricated area threshold"
9,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,5,5,5,5,"Correctly denies compensation"
10,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,2,4,1,1,"Fabricated plan‐certifier requirement"
11,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,2,5,1,1,"Irrelevant compliance statement"
1,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,16,2,5,1,1,"Wrong max height (22 m)"
2,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,16,2,5,1,1,"Wrong roof pitch (45°)"
3,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,16,2,4,2,2,"Generic definition, missing thresholds"
4,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,16,2,5,1,1,"Wrong protrusion depth (1.5 m vs. 0.2 m)"
5,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,16,5,5,5,5,"Correct exclusion by height > 26 m"
6,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,16,2,3,1,1,"Incorrect conditional distances"
7,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,16,3,5,5,4,"Correct prohibition, vague"
8,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,16,2,5,1,1,"Fabricated ratio rule"
9,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,16,2,5,1,1,"Wrong yes – should be gratuitous transfer"
10,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,16,2,4,1,1,"Fabricated notification requirement"
11,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,16,2,4,1,1,"Irrelevant notice fabrication"
1,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,32,2,5,1,1,"Wrong max height (22 m)"
2,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,32,2,5,1,1,"Wrong roof pitch (45°)"
3,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,32,2,4,2,2,"Generic definition, missing thresholds"
4,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,32,2,5,1,1,"Wrong protrusion depth (50 cm vs. 20 cm)"
5,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,32,5,5,5,5,"Correct exclusion by height > 26 m"
