Question ID,LLM Model,Embedding Model,Chunk Size,Context Quality,Answer Relevance,Answer Correctness,Faithfulness to Context,Notes
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,2,3,1,1,"Incorrect answer about gehsteig/tree planting when no action needed"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,0.5,3,3,2,2,"Discusses requirements incorrectly, missing key point about notification"
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,1,3,1,1,"Answer refers to number of stories rather than height and is incorrect"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,3,4,1,2,"Incorrect angle (20° vs 25°)"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,2,2,1,1,"Completely incorrect definition about types of centers"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,2,3,1,1,"Incorrect measurement (60cm vs 20cm)"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,4,5,5,5,"Correct conclusion with appropriate explanation"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,2,3,2,1,"Incorrect answer (3m vs 2m) and additional incorrect details"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,1,5,1,1,"Completely contradicts reference"
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,2,4,1,1,"Incorrect reasoning about 90m² limit which isn't mentioned in reference"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,2,5,5,3,"Correct answer but without detail from reference"
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,1,2,1,1,"Completely wrong information about notifying authority"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,1,1,2,1,1,"Completely irrelevant answer about deadlines"
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,3,4,5,5,"Correct height specification matching reference"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,3,4,2,2,"Incorrect angle (30° vs 25°)"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,1,1,1,1,"Completely generic description unrelated to legal definition"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,2,3,1,1,"Incorrect measurement (1.5m vs 20cm)"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,4,5,5,5,"Correct conclusion with appropriate explanation"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,1,1,2,1,"Discusses text format rather than answering question"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,2,5,5,3,"Correct answer but with vague explanation"
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,2,4,1,1,"Incorrect reasoning about minimum area requirements"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,3,5,5,3,"Correct answer but without details from reference"
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,1,2,1,1,"Irrelevant answer about verputzt (plastering)"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,2,2,2,1,1,"Answer about behebung (correction) unrelated to notification requirement"
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,1,2,1,1,"Completely incorrect height (15m vs 7.5m)"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,1,1,1,1,"Completely incorrect angle (45° vs 25°)"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,1,1,1,1,"Generic description unrelated to legal definition"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,2,3,1,1,"Incorrect measurement (half meter vs 20cm)"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,4,5,5,5,"Correct conclusion with appropriate explanation"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,1,2,1,1,"Incorrect measurement (20m vs 2m)"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,1,5,1,1,"Incorrect reasoning about minimum plot size"
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,2,4,1,1,"Incorrect reasoning about 600m² limit"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,3,5,5,3,"Correct conclusion but without specific details from reference"
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,1,2,1,1,"Incorrect answer about needing to apply for permit"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,4,2,3,1,1,"Vague information about maintenance unrelated to notification requirement"
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,1,2,1,1,"Completely incorrect height (22m vs 7.5m)"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,1,1,1,1,"Completely incorrect angle (45° vs 25°)"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,1,2,1,1,"Vague description unrelated to legal definition"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,2,3,1,1,"Incorrect measurement (30cm vs 20cm)"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,4,5,5,5,"Correct conclusion with appropriate explanation"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,1,3,1,1,"Incorrect information about gehsteig (sidewalk) requirements"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,1,5,1,1,"Contradicts reference with 'nein' but gives vague justification"
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,2,4,1,1,"Incorrect reasoning about 500m² limit"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,2,3,1,1,"Incorrect answer 'nein' contradicts reference"
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,1,2,1,1,"Answer about Trennstücke (separation pieces) unrelated to question"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,8,1,2,1,1,"Answer about Trennstücke unrelated to notification requirement"
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,1,2,1,1,"Completely incorrect height (22m vs 7.5m)"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,1,1,1,1,"Completely incorrect angle (45° vs 25°)"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,1,2,1,1,"Minimalist definition unrelated to legal parameters"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,2,3,1,1,"Incorrect measurement (1.5m vs 20cm)"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,4,5,5,5,"Correct conclusion with appropriate explanation"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,1,3,1,1,"Incorrect information mixing floor/ceiling windows and distances"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,1,5,1,1,"Contradicts reference with vague explanation"
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,2,4,1,1,"Incorrect reasoning about exceeding building plan"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,3,5,5,3,"Correct conclusion but without specific details from reference"
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,1,2,1,1,"Incorrect answer about registration when none needed"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,16,1,2,1,1,"Incorrect answer about compliance unrelated to notification"
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,1,2,1,1,"Completely incorrect height (22m vs 7.5m)"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,1,1,1,1,"Completely incorrect angle (45° vs 25°)"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,1,2,1,1,"Vague definition unrelated to legal parameters"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,2,3,1,1,"Incorrect measurement (50cm vs 20cm)"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,4,5,5,5,"Correct conclusion with appropriate explanation"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,1,3,1,1,"Ambiguous reference to rules rather than specific distance"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,1,5,1,1,"Contradicts reference with 'nein' but provides no specific reason"
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,2,4,1,1,"Incorrect reasoning about regulations"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,3,5,5,3,"Correct conclusion but without specific details from reference"
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,1,2,1,1,"Incorrect answer about building notification"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,32,1,2,1,1,"Incorrect answer about building application"
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,1,2,1,1,"Completely incorrect height (22m vs 7.5m)"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,1,1,1,1,"Completely incorrect angle (45° vs 25°)"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,1,2,1,1,"Generic definition unrelated to legal parameters"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,2,3,1,1,"Incorrect measurement (30cm vs 20cm)"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,4,5,5,5,"Correct conclusion with appropriate reasoning"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,1,1,1,1,"Completely unrelated answer about privacy"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,1,5,1,1,"Contradicts reference without specific reasoning"
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,1,5,5,1,"Correct 'ja' contradicts reference answer which indicates limitations"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,2,3,1,1,"Incorrect answer 'nein' contradicts reference"
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,1,1,1,1,"Lengthy generic response unrelated to the specific question"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,64,1,1,1,1,"Irrelevant answer about zoning violations"
1,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,1,2,1,1,"Completely incorrect height (22m vs 7.5m)"
2,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,1,1,1,1,"Completely incorrect angle (45° vs 25°)"
3,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,1,2,1,1,"Generic definition unrelated to legal parameters"
4,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,2,3,1,1,"Incorrect measurement (30cm vs 20cm)"
5,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,4,5,5,5,"Correct conclusion with appropriate reasoning"
6,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,1,1,1,1,"Vague answer about suggested distance"
7,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,1,5,1,1,"Contradicts reference without specific reasoning"
8,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,1,5,5,1,"Correct 'ja' contradicts reference answer"
9,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,3,5,5,3,"Correct answer but without specific details from reference"
10,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,1,1,1,1,"Answer about unrelated enteignungsamt (expropriation office)"
11,llama3-chatqa:8b,jinaai/jina-embeddings-v2-base-de,128,1,1,1,1,"Irrelevant answer about plans in seven copies"
1,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,3,4,2,3,"Incorrect height (9m vs 7.5m)"
2,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,5,5,5,5,"Perfect match to reference"
3,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,3,4,2,3,"Partial definition missing key elements"
4,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,5,5,5,5,"Accurate and complete answer"
5,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,3,4,3,3,"Incorrect reasoning about 'difference of 4m' but correct conclusion"
6,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,5,5,5,5,"Precise answer matching reference"
7,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,2,5,1,1,"Completely contradicts reference answer"
8,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,3,5,3,3,"Incorrect reasoning about why the construction isn't permitted"
9,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,2,3,1,1,"One-word answer ('definitely') contradicts reference"
10,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,2,3,1,1,"Incorrect answer about sidewalk construction"
11,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.125,2,3,2,1,"Mentions sidewalk when notification is required"
1,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,3,4,2,3,"Incorrect height (9m vs 7.5m)"
2,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,5,5,5,5,"Perfect match to reference"
3,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,4,5,4,5,"Complete definition with all key elements"
4,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,5,5,5,5,"Accurate and complete answer"
5,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,3,5,5,4,"Correct conclusion with vague explanation"
6,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,5,5,5,5,"Precise answer matching reference"
7,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,2,5,1,1,"Completely contradicts reference"
8,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,3,5,3,3,"Incorrect reasoning about why the construction isn't permitted"
9,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,2,3,1,1,"One-word answer ('definitely') contradicts reference"
10,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,2,3,1,1,"Incorrect answer about sidewalk construction"
11,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.25,2,3,2,2,"Some correct information but missing notification requirement"
1,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,3,4,2,3,"Incorrect height (9m vs 7.5m)"
2,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,5,5,5,5,"Perfect match to reference"
3,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,4,5,4,5,"Nearly complete definition, missing only specific size details"
4,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,5,5,5,5,"Accurate and complete answer"
5,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,3,5,5,4,"Correct conclusion with appropriate explanation"
6,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,5,5,5,5,"Precise answer matching reference"
7,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,2,5,1,1,"Completely contradicts reference"
8,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,3,5,5,4,"Correct assessment that construction is permitted within limits"
9,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,2,3,1,1,"One-word answer ('definitely') contradicts reference"
10,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,2,3,1,1,"Incorrect answer about tree planting when no action needed"
11,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.5,2,3,2,2,"Incomplete information about requirements"
1,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,1,3,1,1,"Answer refers to number of stories rather than height and is incorrect"
2,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,3,4,1,2,"Missing information about maximum angle"
3,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,2,2,1,1,"Vague definition unrelated to legal parameters"
4,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,2,3,1,1,"Incorrect measurement (0.5m vs 20cm)"
5,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,4,5,5,5,"Correct conclusion with appropriate explanation"
6,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,2,3,2,2,"Vague answer about minimum distance"
7,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,1,5,5,2,"Contradicts reference answer"
8,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,2,4,1,1,"Incorrect reasoning about area requirements"
9,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,2,5,5,3,"Correct answer but without detail from reference"
10,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,1,2,1,1,"Incorrect answer about authority notification"
11,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,1,2,1,1,"Generic answer about registration without notification specifics"
1,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,3,4,5,5,"Correct height specification matching reference"
2,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,3,4,2,2,"Missing information about maximum angle"
3,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,1,1,1,1,"Very generic description unrelated to legal definition"
4,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,2,3,1,1,"Incorrect measurement (1m vs 20cm)"
5,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,4,5,5,5,"Correct conclusion with appropriate explanation"
6,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,1,1,1,1,"Answer does not address the question"
7,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,2,3,2,2,"Answer mentions building regulations but is vague"
8,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,2,4,5,3,"Correct assessment that construction is permitted within limits"
9,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,3,5,5,3,"Correct answer but without details from reference"
10,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,1,2,1,1,"Irrelevant answer about authority notification"
11,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2,2,2,1,1,"Generic answer about registration without notification specifics"
1,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,1,2,1,1,"Completely incorrect height (7.5m vs 7.5m)"
2,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,1,1,1,1,"Missing information about maximum angle"
3,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,1,1,1,1,"Missing information about definition"
4,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,2,3,1,1,"Incorrect measurement (1m vs 20cm)"
5,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,4,5,5,5,"Correct conclusion with appropriate explanation"
6,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,1,2,1,1,"Answer does not address the specific question"
7,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,1,3,2,1,"Vague answer about permissions"
8,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,2,4,1,1,"Incorrect reasoning about construction requirements"
9,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,3,5,5,3,"Correct conclusion but without specific details from reference"
10,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,1,2,1,1,"Incorrect answer about notification requirement"
11,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4,2,3,1,1,"Vague answer about registration"
1,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,1,2,1,1,"Completely incorrect information about height"
2,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,1,1,1,1,"Completely incorrect angle"
3,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,1,2,1,1,"Very generic definition unrelated to legal parameters"
4,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,2,3,1,1,"Incorrect measurement (0.5m vs 20cm)"
5,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,4,5,5,5,"Correct conclusion with appropriate explanation"
6,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,1,3,1,1,"Text does not answer the specific question"
7,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,1,3,1,1,"Vague answer about building permissions"
8,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,2,4,5,3,"Correct assessment but with vague explanation"
9,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,2,5,5,2,"Correct answer but without details from reference"
10,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,1,2,1,1,"Incorrect answer about notification requirement"
11,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,8,1,2,1,1,"Incorrect answer about building requirements"
1,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,16,1,2,1,1,"Completely incorrect information about height"
2,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,16,1,1,1,1,"Missing information about maximum angle"
3,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,16,1,2,1,1,"Very generic definition unrelated to legal parameters"
4,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,16,2,3,1,1,"Incorrect measurement (1m vs 20cm)"
5,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,16,4,5,5,5,"Correct conclusion with appropriate explanation"
6,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,16,1,3,1,1,"Text does not answer the specific question"
7,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,16,1,5,1,1,"Contradicts reference with vague explanation"
8,llama3-chatqa:8b,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,16,2,4,5,3,"Correct assessment but with vague explanation"
